Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
2522,19960725,20081031,112,49.0382,8.3641,Karlsruhe,Baden-Württemberg,Karlsruhe
2532,19990902,20131031,231,51.2963,9.4424,Kassel,Hessen,Niestetal
2542,20021204,20160331,716,47.8652,10.6007,Kaufbeuren,Bayern,Kaufbeuren
2559,19920430,20210307,705,47.7233,10.3348,Kempten,Bayern,Kempten (Allgäu)
2564,20130501,20210307,28,54.3776,10.1424,Kiel-Holtenau,Schleswig-Holstein,Rendsburg-Eckernförde
2575,20070522,20210307,432,49.1804,9.98,Kirchberg/Jagst-Herboldshausen,Baden-Württemberg,Landkreis Schwäbisch Hall
2578,20030723,20210307,12,53.9995,11.4341,Kirchdorf/Poel,Mecklenburg-Vorpommern,Nordwestmecklenburg
2597,19950602,20210307,282,50.224,10.0792,"Kissingen, Bad",Bayern,Landkreis Bad Kissingen
2600,20041103,20210308,193,49.7363,10.1781,Kitzingen,Bayern,Landkreis Kitzingen
2601,19921002,20210307,826,50.2218,8.4469,Kleiner Feldberg/Taunus,Hessen,Hochtaunuskreis
2618,20040811,20210308,732,50.8458,10.4803,Kleiner Inselsberg,Thüringen,Landkreis Gotha
2627,20030430,20210307,128,51.5554,13.8845,Klettwitz,Brandenburg,Oberspreewald-Lausitz
2629,20021023,20210308,46,51.7612,6.0954,Kleve,Nordrhein-Westfalen,Kreis Kleve
2638,19921106,20210307,974,48.1054,8.7548,Klippeneck,Baden-Württemberg,Landkreis Tuttlingen
2641,20040419,20210308,85,51.5185,12.9065,Klitzschen bei Torgau,Sachsen,Nordsachsen
2667,19931112,20210307,92,50.8646,7.1575,Köln-Bonn,Nordrhein-Westfalen,Rhein-Sieg-Kreis
2680,20050406,20210308,289,50.284,10.4456,"Königshofen, Bad",Bayern,Landkreis Rhön-Grabfeld
2700,20041025,20210307,416,48.8302,11.4872,Kösching,Bayern,Landkreis Eichstätt
2704,20030606,20210308,76,51.7511,12.0094,Köthen (Anhalt),Sachsen-Anhalt,Anhalt-Bitterfeld
2708,20060607,20210308,742,47.6652,11.0805,"Kohlgrub, Bad (Rosshof)",Bayern,Landkreis Garmisch-Partenkirchen
2712,19930813,20210307,428,47.6952,9.1307,Konstanz,Baden-Württemberg,Landkreis Konstanz
2750,20050801,20210308,310,50.2524,11.3209,Kronach,Bayern,Landkreis Kronach
2794,19920316,20210307,40,52.9363,12.4093,Kyritz,Brandenburg,Ostprignitz-Ruppin
2812,19960829,20210307,156,48.3647,7.828,Lahr,Baden-Württemberg,Ortenaukreis
2814,20020904,20210308,685,48.5121,9.7645,Merklingen,Baden-Württemberg,Alb-Donau-Kreis
2856,20030722,20210308,91,51.9173,13.0878,Langenlipsdorf,Brandenburg,Teltow-Fläming
2878,19930122,20210308,117,51.3909,11.8786,"Lauchstädt, Bad",Sachsen-Anhalt,Saalekreis
2907,19990202,20210307,7,54.7903,8.9514,Leck,Schleswig-Holstein,Nordfriesland
2925,19911104,20210307,356,51.3933,10.3123,Leinefelde,Thüringen,Landkreis Eichsfeld
2928,19970206,20210307,138,51.3151,12.4462,Leipzig-Holzhausen,Sachsen,Leipzig
2932,19911101,20210307,131,51.4348,12.2396,Leipzig/Halle,Sachsen,Nordsachsen
2947,20060831,20210308,286,51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen,Kreis Olpe
2951,20030305,20210307,20,53.1007,11.4864,Lenzen/Elbe,Brandenburg,Prignitz
2953,20070401,20210308,852,47.8597,8.2308,Lenzkirch-Ruhbühl,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald
2961,20180809,20210307,31,54.4996,10.2737,Leuchtturm Kiel,Schleswig-Holstein,Lotsenstation
2968,20081201,20210308,43,50.9894,6.9777,Köln-Stammheim,Nordrhein-Westfalen,Köln
2985,19911102,20210307,321,50.9383,14.2093,Lichtenhain-Mittelndorf,Sachsen,Sächsische Schweiz-Osterzgebirge
3015,19921107,20210307,98,52.2085,14.118,Lindenberg,Brandenburg,Oder-Spree
3023,19910102,20161231,22,52.5181,7.3081,Lingen,Niedersachsen,Landkreis Emsland
3028,19920806,20210307,157,51.7854,8.8388,"Lippspringe, Bad",Nordrhein-Westfalen,Kreis Paderborn
3031,20020920,20210307,92,51.6336,8.3945,Lippstadt-Bökenförde,Nordrhein-Westfalen,Kreis Soest
3032,19951202,20210307,25,55.011,8.4125,List auf Sylt,Schleswig-Holstein,Nordfriesland
3034,20061113,20210308,496,50.4505,11.635,"Lobenstein, Bad",Thüringen,Saale-Orla-Kreis
3042,20080423,20210307,230,50.5617,8.2386,Löhnberg-Obershausen,Hessen,Landkreis Limburg-Weilburg
3044,20070701,20180601,22,52.7198,7.7472,Löningen,Niedersachsen,Landkreis Cloppenburg
3083,20040930,20210308,57,51.9267,13.8797,Lübben-Blumenfelde,Brandenburg,Dahme-Spreewald
3086,19960702,20210307,15,53.8025,10.6989,Lübeck-Blankensee,Schleswig-Holstein,Lübeck
3093,19930923,20210307,16,52.9724,11.1374,Lüchow,Niedersachsen,Lüchow-Dannenberg
3098,19940101,20210307,387,51.2452,7.6425,Lüdenscheid,Nordrhein-Westfalen,Märkischer Kreis
3126,19911102,20210307,79,52.1029,11.5827,Magdeburg,Sachsen-Anhalt,Magdeburg
3137,20080228,20210308,195,49.9656,8.2139,Mainz-Lerchenberg (ZDF),Rheinland-Pfalz,Mainz
3147,20130901,20200802,418,48.7725,12.2179,Mallersdorf-Pfaffenberg/Niederbayern,Bayern,Landkreis Straubing-Bogen
3155,20030612,20210308,413,50.1015,6.8009,Manderscheid-Sonnenhof,Rheinland-Pfalz,Landkreis Vulkaneifel
3158,19911101,20210307,12,52.5468,14.5452,Manschnow,Brandenburg,Märkisch-Oderland
3164,20060701,20210308,187,50.8492,8.7746,"Cölbe, Kr. Marburg-Biedenkopf",Hessen,Landkreis Marburg-Biedenkopf
3166,19911103,20210307,639,50.651,13.1469,Marienberg,Sachsen,Erzgebirgskreis
3167,19990602,20210307,547,50.6621,7.9603,"Marienberg, Bad",Rheinland-Pfalz,Westerwaldkreis
3196,19920617,20210307,81,53.3223,11.9319,Marnitz,Mecklenburg-Vorpommern,Ludwigslust-Parchim
3204,20080530,20210307,429,50.7335,10.8815,Martinroda,Thüringen,Ilm-Kreis
3226,20060801,20210308,107,51.7259,11.5109,Aschersleben-Mehringen,Sachsen-Anhalt,Salzlandkreis
3231,19911102,20210307,450,50.5612,10.3771,Meiningen,Thüringen,Landkreis Schmalkalden-Meiningen
3234,20050201,20210308,158,51.1294,13.4328,Garsebach bei Meißen,Sachsen,Meißen
3244,20090720,20210308,615,47.982,10.1384,Memmingen,Bayern,Landkreis Unterallgäu
3257,20040429,20210308,250,49.4773,9.7622,"Mergentheim, Bad-Neunkirchen",Baden-Württemberg,Main-Tauber-Kreis
